,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
101,Spirited Away,2001,125,8.6,96.0,621308,10.06
102,Toy Story 4,2019,100,7.8,84.0,186129,434.04
103,The Martian,2015,144,8.0,80.0,736875,228.43
104,Avatar,2009,162,7.8,83.0,1097759,760.51
105,Kill Bill: Vol. 1,2003,111,8.1,69.0,972633,70.1
106,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,439105,0.28
107,Star Wars: Episode IV - A New Hope,1977,121,8.6,90.0,1199412,322.74
108,The Lord of the Rings: The Return of the King,2003,201,8.9,94.0,1597218,377.85
109,The Breakfast Club,1985,97,7.9,66.0,346041,45.88
110,American Beauty,1999,122,8.3,84.0,1045043,130.1
111,Stardust,2007,127,7.6,66.0,249092,38.63
112,The Hateful Eight,2015,168,7.8,68.0,495622,54.12
113,Come and See,1985,142,8.3,None Given,52843,
114,Batman Begins,2005,140,8.2,70.0,1271749,206.85
115,Shutter Island,2010,138,8.2,63.0,1089392,128.01
116,A Clockwork Orange,1971,136,8.3,80.0,736816,6.21
117,Memento,2000,113,8.4,80.0,1092776,25.54
118,Ex Machina,2014,108,7.7,78.0,459797,25.44
119,The Avengers,2012,143,8.0,69.0,1237751,623.28
120,The Godfather: Part II,1974,202,9.0,90.0,1092337,57.3
121,Guardians of the Galaxy Vol. 2,2017,136,7.6,67.0,546188,389.81
122,Heat,1995,170,8.2,76.0,559214,67.44
123,Her,2013,126,8.0,90.0,520199,25.57
124,Whiplash,2014,106,8.5,88.0,685657,13.09
125,Tombstone,1993,130,7.8,50.0,122414,56.51
126,La La Land,2016,128,8.0,94.0,484701,151.1
127,Logan,2017,137,8.1,77.0,623223,226.28
128,X-Men: First Class,2011,131,7.7,65.0,635052,146.41
129,Iron Man,2008,126,7.9,79.0,917336,318.41
130,Rogue One: A Star Wars Story,2016,133,7.8,65.0,535792,532.18
131,Psycho,1960,109,8.5,97.0,582886,32.0
132,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88.0,406712,54.51
133,12 Angry Men,1957,96,8.9,96.0,664035,4.36
134,Terminator 2: Judgment Day,1991,137,8.5,75.0,970619,204.84
135,Boogie Nights,1997,155,7.9,85.0,232603,26.4
136,Into the Wild,2007,148,8.1,73.0,558015,18.35
137,Scent of a Woman,1992,156,8.0,59.0,251368,63.9
138,V for Vendetta,2005,132,8.2,62.0,1004971,70.51
139,The Lion King,1994,88,8.5,88.0,912514,422.78
140,The Revenant,2015,156,8.0,76.0,680743,183.64
141,The Peanut Butter Falcon,2019,97,7.6,70.0,43211,13.12
142,American Psycho,2000,101,7.6,64.0,469397,15.07
143,Blade Runner,1982,117,8.1,84.0,674749,32.87
144,Midnight in Paris,2011,94,7.7,81.0,377901,56.82
145,One Flew Over the Cuckoo's Nest,1975,133,8.7,83.0,886786,112.0
146,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,884687,34.4
147,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82.0,530071,249.36
148,Zootopia,2016,108,8.0,78.0,418575,341.27
149,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,1127212,290.48
150,Coco,2017,105,8.4,81.0,347684,209.73
151,The Terminator,1984,107,8.0,84.0,780723,38.4
