,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
451,The Magnificent Seven,1960,128,7.7,74.0,85538,4.91
452,To Kill a Mockingbird,1962,129,8.2,88.0,287691,
453,The Elephant Man,1980,124,8.1,78.0,213316,
454,Enemy at the Gates,2001,131,7.6,53.0,237229,51.4
455,Nausicaä of the Valley of the Wind,1984,117,8.1,86.0,143599,0.5
456,Brazil,1985,132,7.9,84.0,183685,9.93
457,Mr. Nobody,2009,141,7.8,63.0,210800,0.0
458,Stalker,1979,162,8.2,None Given,110797,0.23
459,Toy Story 2,1999,92,7.9,88.0,512351,245.85
460,Days of Heaven,1978,94,7.8,93.0,50605,
461,In the Mood for Love,2000,98,8.1,85.0,118115,2.73
462,Togo,2019,113,8.0,69.0,29629,
463,Isle of Dogs,2018,101,7.9,82.0,131385,32.02
464,"Paris, Texas",1984,145,8.1,78.0,85394,2.18
465,The Others,2001,104,7.6,74.0,329264,96.52
466,Lost Highway,1997,134,7.6,52.0,126963,3.8
467,Duck You Sucker,1971,138,7.6,77.0,29050,0.7
468,Kramer vs. Kramer,1979,105,7.8,77.0,128693,106.26
469,Dogville,2003,178,8.0,60.0,134359,1.53
470,Sense and Sensibility,1995,136,7.6,84.0,98890,43.18
471,The Jungle Book,1967,78,7.6,65.0,161621,141.84
472,Gone Baby Gone,2007,114,7.6,72.0,244603,20.3
473,A Silent Voice: The Movie,2016,130,8.2,78.0,39384,
474,"Blood In, Blood Out",1993,180,8.0,47.0,28162,4.5
475,Harakiri,1962,133,8.7,85.0,36187,
476,Planet of the Apes,1968,112,8.0,79.0,162292,33.4
477,Mississippi Burning,1988,128,7.8,65.0,84915,34.6
478,The Royal Tenenbaums,2001,110,7.6,76.0,259895,52.36
479,Batman: Mask of the Phantasm,1993,76,7.8,None Given,41895,5.62
480,Blow,2001,124,7.6,52.0,235510,52.99
481,25th Hour,2002,135,7.6,68.0,167475,13.06
482,The Great Escape,1963,172,8.2,86.0,218537,12.1
483,Enter the Dragon,1973,102,7.7,83.0,93950,25.0
484,Kiki's Delivery Service,1989,103,7.8,83.0,116555,
485,Battle Royale,2000,114,7.6,81.0,165799,
486,Ran,1985,162,8.2,96.0,107951,4.14
487,The Verdict,1982,129,7.7,77.0,34755,54.0
488,Malcolm X,1992,202,7.7,73.0,82913,48.17
489,Escape from Alcatraz,1979,112,7.6,76.0,115430,43.0
490,Butch Cassidy and the Sundance Kid,1969,110,8.0,66.0,198580,102.31
491,Akira,1988,124,8.0,None Given,158244,0.55
492,The Boondock Saints,1999,108,7.8,44.0,224115,0.03
493,The French Connection,1971,104,7.7,94.0,106723,15.63
494,Carlito's Way,1993,144,7.9,65.0,195613,36.95
495,Wild Tales,2014,122,8.1,77.0,168855,3.11
496,The Sting,1973,129,8.3,83.0,235196,159.6
497,Eastern Promises,2007,100,7.6,82.0,223170,17.11
498,Midnight Express,1978,121,7.6,59.0,71316,35.0
499,Traffic,2000,147,7.6,86.0,192550,124.12
500,Creed,2015,133,7.6,82.0,240708,109.77
501,Metropolis,1927,153,8.3,98.0,155218,1.24
502,Klaus,2019,96,8.2,65.0,72820,
503,The Conversation,1974,113,7.8,85.0,94942,4.42
504,Awakenings,1990,121,7.8,74.0,119981,52.1
505,Hotel Rwanda,2004,121,8.1,79.0,328057,23.53
506,The Illusionist,2006,110,7.6,68.0,349620,39.87
507,Gangs of Wasseypur,2012,321,8.2,89.0,77227,
508,Network,1976,121,8.1,83.0,141094,
509,High Noon,1952,85,7.9,89.0,95217,9.45
510,The Boy in the Striped Pajamas,2008,94,7.8,55.0,184927,9.03
511,Lord of War,2005,122,7.6,62.0,289023,24.15
512,Midnight Cowboy,1969,113,7.8,79.0,98120,44.79
513,Dawn of the Planet of the Apes,2014,130,7.6,79.0,405491,208.55
514,The Ten Commandments,1956,220,7.8,None Given,62111,93.74
515,The Girl with the Dragon Tattoo,2009,152,7.8,76.0,205523,10.1
516,Before Sunset,2004,80,8.0,90.0,226965,5.82
517,National Lampoon's Christmas Vacation,1989,97,7.6,49.0,148005,71.32
518,Castle in the Sky,1986,125,8.0,78.0,144213,
519,Sling Blade,1996,135,8.0,84.0,85478,24.48
520,The Wrestler,2008,109,7.9,80.0,285620,26.24
521,Adaptation.,2002,115,7.7,83.0,173255,22.25
522,Dirty Harry,1971,102,7.7,90.0,139940,35.9
523,Andhadhun,2018,139,8.3,None Given,63908,1.37
524,The Searchers,1956,119,7.9,94.0,78004,
525,The Nightmare Before Christmas,1993,76,8.0,82.0,284180,75.08
526,The Raid: Redemption,2011,101,7.6,73.0,186399,4.11
527,Before Midnight,2013,109,7.9,94.0,135357,8.11
528,Sing Street,2016,106,7.9,79.0,82257,3.24
529,The Lego Movie,2014,100,7.7,83.0,318324,257.76
530,Die Hard with a Vengeance,1995,128,7.6,58.0,356017,100.01
531,Persona,1966,83,8.1,86.0,97924,
532,Annie Hall,1977,93,8.0,92.0,247395,39.2
533,The Man from Earth,2007,87,7.9,None Given,169861,
534,The Fall,2006,117,7.9,64.0,105508,2.28
535,Seven Pounds,2008,123,7.6,36.0,281498,69.95
536,The 39 Steps,1935,86,7.6,93.0,50162,
537,Short Term 12,2013,96,8.0,82.0,79124,1.01
538,Ghost in the Shell,1995,83,8.0,76.0,124735,0.52
539,Freaks,1932,64,7.9,80.0,40949,
540,Paths of Glory,1957,88,8.4,None Given,171296,
541,JFK,1991,189,8.0,72.0,137804,70.41
542,Sunset Blvd.,1950,110,8.4,None Given,194479,
543,Kung Fu Hustle,2004,99,7.7,78.0,124181,17.11
544,Ip Man,2008,106,8.0,59.0,207021,
545,A Separation,2011,123,8.3,95.0,212958,7.1
546,The Artist,2011,100,7.9,89.0,226580,44.67
547,Ben-Hur,1959,212,8.1,90.0,213919,74.7
548,7 Kogustaki Mucize,2019,132,8.3,None Given,27600,
549,Cool Hand Luke,1967,127,8.1,92.0,157657,16.22
550,Yojimbo,1961,110,8.2,None Given,106635,
551,Robin Hood,1973,83,7.6,57.0,112158,32.06
552,The Last Picture Show,1971,118,8.0,93.0,40971,29.13
553,The Insider,1999,157,7.8,84.0,156446,28.97
554,Night of the Living Dead,1968,96,7.9,89.0,112620,0.09
555,Rushmore,1998,93,7.7,86.0,165174,17.11
556,"Synecdoche, New York",2008,124,7.6,67.0,78950,3.08
557,In the Name of the Father,1993,133,8.1,84.0,151818,25.01
558,Funny Games,1997,108,7.6,69.0,62339,
559,The Last King of Scotland,2006,123,7.7,74.0,172321,17.61
560,The Bridges of Madison County,1995,135,7.6,66.0,70729,71.52
561,Zindagi Na Milegi Dobara,2011,155,8.1,None Given,65046,3.11
562,Rope,1948,80,8.0,73.0,125021,
563,Baahubali: The Beginning,2015,159,8.1,None Given,99488,6.74
564,Hachi: A Dog's Tale,2009,93,8.1,None Given,244264,
565,Solaris,1972,167,8.1,90.0,77566,
566,"Crouching Tiger, Hidden Dragon",2000,120,7.8,94.0,248802,128.08
567,Papillon,1973,151,8.0,58.0,118777,53.27
568,Gandhi,1982,191,8.0,79.0,214581,52.77
569,The Apartment,1960,125,8.3,94.0,157776,18.6
570,The King of Comedy,1982,109,7.8,73.0,83350,2.5
571,Amores Perros,2000,154,8.1,83.0,218335,5.38
572,Rashomon,1950,88,8.2,98.0,147141,0.1
573,La Haine,1995,98,8.1,None Given,143301,0.31
574,Dil Bechara,2020,101,9.5,None Given,76534,
575,Let the Right One In,2008,114,7.9,82.0,202055,2.12
576,PK,2014,153,8.1,None Given,155658,10.62
577,Blood Simple,1984,99,7.6,81.0,84909,2.15
578,8½,1963,138,8.0,None Given,105842,0.05
579,A Little Princess,1995,97,7.7,83.0,31328,10.02
580,Frost/Nixon,2008,122,7.7,80.0,101035,18.59
581,This Is England,2006,101,7.7,86.0,113886,0.33
582,A Streetcar Named Desire,1951,122,8.0,97.0,96772,8.0
583,Perfect Blue,1997,81,8.0,None Given,53147,0.78
584,In the Heat of the Night,1967,110,7.9,75.0,65452,24.38
585,Ordinary People,1980,124,7.7,86.0,45406,54.8
586,Pride,2014,119,7.8,79.0,50266,
587,Snow White and the Seven Dwarfs,1937,83,7.6,95.0,176346,184.93
588,Rebecca,1940,130,8.1,86.0,118551,4.36
589,How to Train Your Dragon 2,2014,102,7.8,76.0,297166,177.0
590,50/50,2011,100,7.6,72.0,311086,35.01
591,Dangerous Liaisons,1988,119,7.6,74.0,62918,34.7
592,Like Stars on Earth,2007,165,8.4,None Given,160175,1.22
593,The Name of the Rose,1986,130,7.7,54.0,98986,7.15
594,Doctor Zhivago,1965,197,8.0,69.0,67965,111.72
595,Finding Neverland,2004,106,7.7,67.0,195934,51.68
596,The Bridge on the River Kwai,1957,161,8.1,87.0,197724,44.91
597,The Right Stuff,1983,193,7.8,91.0,54748,21.5
598,Beasts of No Nation,2015,137,7.7,79.0,71102,0.08
599,The Best Offer,2013,131,7.8,49.0,104622,0.09
600,Roman Holiday,1953,118,8.0,78.0,124064,
601,On the Waterfront,1954,108,8.1,91.0,137641,9.6
602,The Body,2012,108,7.6,None Given,53812,
603,I Am Sam,2001,132,7.7,28.0,140747,40.31
604,The Great Beauty,2013,141,7.8,86.0,78308,2.85
605,The Adventures of Robin Hood,1938,102,7.9,97.0,46072,3.98
606,Ed Wood,1994,127,7.8,70.0,162552,5.89
607,Naked,1993,132,7.8,84.0,33043,1.77
608,Chungking Express,1994,102,8.1,77.0,59421,0.6
609,Fanny and Alexander,1982,188,8.1,100.0,55963,4.97
610,Mother,2009,129,7.8,79.0,48165,0.55
611,Dancer in the Dark,2000,140,8.0,61.0,99622,4.18
612,The Wind Rises,2013,126,7.8,83.0,69325,5.21
613,Ray,2004,152,7.7,73.0,135577,75.33
614,The Iron Giant,1999,86,8.0,85.0,167462,23.16
615,Dawn of the Dead,1978,127,7.9,71.0,108767,5.1
616,Porco Rosso,1992,94,7.7,83.0,73281,
617,Badlands,1973,94,7.8,93.0,63515,
618,Bonnie and Clyde,1967,111,7.8,86.0,99786,
619,Manhattan,1979,96,7.9,83.0,128627,45.7
620,Flipped,2010,90,7.7,45.0,79300,1.75
621,Sabrina,1954,113,7.7,72.0,57361,
622,The Straight Story,1999,112,8.0,86.0,79601,6.2
623,Glengarry Glen Ross,1992,100,7.7,82.0,93432,10.73
624,Breaking the Waves,1996,159,7.8,76.0,60848,4.04
625,Charade,1963,113,7.9,83.0,65750,13.47
626,The Day of the Jackal,1973,143,7.8,80.0,36350,16.06
627,Le Samouraï,1967,101,8.1,None Given,43553,0.04
628,Cabaret,1972,124,7.8,80.0,46953,42.77
629,Nosferatu,1922,94,7.9,None Given,86195,
630,M,1931,99,8.3,None Given,138410,0.03
631,Whisper of the Heart,1995,111,7.9,75.0,48098,
632,The Raid 2,2014,150,8.0,71.0,111543,2.63
633,The Last Emperor,1987,163,7.7,76.0,91295,43.98
634,Witness for the Prosecution,1957,116,8.4,None Given,103531,8.18
635,Strangers on a Train,1951,101,8.0,88.0,120488,7.63
636,La Dolce Vita,1960,174,8.0,95.0,64118,19.52
637,All the President's Men,1976,138,8.0,84.0,99246,70.6
638,"Planes, Trains & Automobiles",1987,93,7.6,72.0,118629,49.53
639,The Night of the Hunter,1955,92,8.0,99.0,79830,0.65
640,Rebel Without a Cause,1955,111,7.7,89.0,81206,
641,Letters from Iwo Jima,2006,141,7.9,89.0,151685,13.76
642,The Man Who Shot Liberty Valance,1962,123,8.1,94.0,66913,
643,Where Eagles Dare,1968,158,7.7,63.0,50442,
644,The Wild Bunch,1969,135,7.9,97.0,75791,12.06
645,The Secret World of Arrietty,2010,94,7.6,80.0,76806,19.2
646,Evil Dead II,1987,84,7.8,69.0,144060,5.92
647,After Hours,1985,97,7.7,90.0,56140,10.6
648,Hannah and Her Sisters,1986,107,7.9,90.0,65417,40.08
649,Cold War,2018,89,7.6,90.0,45131,4.57
650,Rio Bravo,1959,141,8.0,93.0,54471,12.54
651,Me and Earl and the Dying Girl,2015,105,7.7,74.0,120040,6.74
652,Barton Fink,1991,116,7.7,69.0,110343,6.15
653,Paddington 2,2017,103,7.8,88.0,57447,40.44
654,Pink Floyd: The Wall,1982,95,8.1,47.0,74320,22.24
655,Land of Mine,2015,100,7.8,75.0,33415,0.44
656,Mysterious Skin,2004,105,7.6,73.0,64752,0.7
657,Black Book,2006,145,7.7,71.0,71300,4.4
658,Mary and Max,2009,92,8.1,None Given,160322,
659,The Maltese Falcon,1941,100,8.0,96.0,146321,2.11
660,21 Grams,2003,124,7.7,70.0,220719,16.29
661,The Kid,1921,68,8.3,None Given,108160,5.45
662,All About Eve,1950,138,8.2,98.0,117014,0.01
663,Blow-Up,1966,111,7.6,82.0,54758,
664,Dial M for Murder,1954,105,8.2,75.0,152201,0.01
665,Mommy,2014,139,8.1,74.0,48275,3.49
666,Modern Times,1936,87,8.5,96.0,209762,0.16
667,Clerks,1994,92,7.7,70.0,208725,3.15
668,The Mirror,1975,107,8.1,None Given,37741,0.18
669,Lucky Number Slevin,2006,110,7.7,53.0,296168,22.49
670,Double Indemnity,1944,107,8.3,95.0,138658,5.72
671,Hero,2002,120,7.9,85.0,171539,53.71
672,Breathless,1960,90,7.9,None Given,70629,0.34
673,Giant,1956,201,7.6,84.0,33091,
674,Red River,1948,133,7.8,None Given,27248,
675,Stagecoach,1939,96,7.9,93.0,41942,
676,Queen,2013,146,8.2,None Given,58907,1.43
677,The Philadelphia Story,1940,112,7.9,96.0,61800,
678,Wings of Desire,1987,128,8.0,79.0,62527,3.33
679,Three Colors: Blue,1993,94,7.9,85.0,85744,1.32
680,Kelly's Heroes,1970,144,7.6,50.0,44141,1.38
681,The Longest Day,1962,178,7.8,75.0,51258,39.1
682,Drishyam,2015,163,8.2,None Given,64838,0.74
683,Kubo and the Two Strings,2016,101,7.8,84.0,114430,48.02
684,The Third Man,1949,93,8.1,97.0,154502,0.45
685,Miller's Crossing,1990,115,7.7,66.0,123358,5.08
686,The Tenant,1976,126,7.7,None Given,38114,1.92
687,Cinderella Man,2005,144,8.0,69.0,172985,61.65
688,Wild Strawberries,1957,91,8.2,88.0,92109,
689,The Killing Fields,1984,141,7.8,76.0,50188,34.7
690,The Great Dictator,1940,125,8.4,None Given,196093,0.29
691,Victoria,2015,138,7.6,77.0,50341,
692,Anatomy of a Murder,1959,161,8.0,95.0,58089,11.9
693,My Left Foot,1989,103,7.9,97.0,65837,14.74
694,The Remains of the Day,1993,134,7.8,84.0,63599,22.95
695,Paprika,2006,90,7.7,81.0,67792,0.88
696,Cape Fear,1962,106,7.7,76.0,25561,
697,Neon Genesis Evangelion: The End of Evangelion,1997,87,8.1,None Given,35750,
698,From Here to Eternity,1953,118,7.6,85.0,42149,30.5
699,Being There,1979,130,8.0,83.0,63894,30.18
700,Guess Who's Coming to Dinner,1967,108,7.8,63.0,38120,56.7
701,The Man from Nowhere,2010,119,7.8,None Given,60438,0.01
702,Contempt,1963,102,7.6,None Given,27738,0.04
703,The Muppet Movie,1979,95,7.6,74.0,31709,76.66
704,All That Jazz,1979,123,7.9,72.0,26987,37.82
705,The Killing,1956,84,8.0,91.0,79166,
706,Fitzcarraldo,1982,158,8.1,None Given,30303,
707,Happiness,1998,134,7.7,81.0,65186,2.81
708,King Kong,1933,100,7.9,90.0,77247,10.0
709,Paper Moon,1973,102,8.1,77.0,40997,30.93
710,Watership Down,1978,91,7.6,64.0,32883,
711,The Long Goodbye,1973,112,7.6,87.0,25006,0.96
712,K.G.F: Chapter 1,2018,156,8.2,None Given,30813,
713,Loving Vincent,2017,94,7.8,62.0,47786,6.74
714,The Secret of NIMH,1982,82,7.6,76.0,35302,10.14
715,The Tale of The Princess Kaguya,2013,137,8.0,89.0,35784,1.51
716,Harold and Maude,1971,91,7.9,62.0,69097,
717,Kagemusha,1980,162,8.0,84.0,31012,
718,Throne of Blood,1957,110,8.1,None Given,44317,
719,Pierrot le Fou,1965,110,7.6,None Given,28258,
720,What Ever Happened to Baby Jane?,1962,134,8.1,75.0,48525,4.05
721,Three Colors: Red,1994,99,8.1,100.0,87019,4.04
722,Cat on a Hot Tin Roof,1958,108,8.0,84.0,43642,17.57
723,The Legend of 1900,1998,169,8.1,58.0,57054,0.26
724,Amour,2012,127,7.9,94.0,90744,6.74
725,Run Lola Run,1998,80,7.6,77.0,185379,7.27
726,Dead Man,1995,121,7.6,62.0,88346,1.04
727,When Marnie Was There,2014,103,7.7,72.0,30012,0.77
728,Withnail & I,1987,107,7.7,84.0,39188,1.54
729,"Aguirre, the Wrath of God",1972,95,7.9,None Given,50617,
730,Bicycle Thieves,1948,89,8.3,None Given,140372,0.33
731,The Treasure of the Sierra Madre,1948,126,8.2,98.0,110843,5.01
732,The Big Sleep,1946,114,7.9,None Given,77260,6.54
733,Harvey,1950,104,7.9,None Given,51830,
734,Belle de Jour,1967,100,7.7,None Given,38901,0.03
735,The Hidden Fortress,1958,126,8.1,None Given,32863,
736,Nebraska,2013,115,7.7,87.0,110246,17.65
737,Notorious,1946,102,7.9,100.0,89928,10.46
738,Patton,1970,172,7.9,91.0,92085,61.7
739,Hedwig and the Angry Inch,2001,95,7.7,85.0,31347,3.03
740,The Chaser,2008,125,7.9,64.0,55758,
741,La Vie En Rose,2007,140,7.6,66.0,81105,10.3
742,Waking Life,2001,99,7.8,82.0,59692,2.89
743,Lady Vengeance,2005,115,7.6,75.0,69825,0.21
744,It Happened One Night,1934,105,8.1,87.0,90814,4.36
745,High and Low,1963,143,8.4,None Given,30513,
746,Ikiru,1952,143,8.3,None Given,64758,0.06
747,Hamlet,1996,242,7.7,None Given,35430,4.41
748,Andrei Rublev,1966,205,8.1,None Given,44359,0.1
749,East of Eden,1955,118,7.9,72.0,39193,
750,Detachment,2011,98,7.7,52.0,74381,0.07
751,Fantasia,1940,125,7.8,96.0,86416,76.41
752,The Lion in Winter,1968,134,7.9,None Given,28322,22.28
753,Raise the Red Lantern,1991,125,8.1,None Given,28517,2.6
754,Who's Afraid of Virginia Woolf?,1966,131,8.0,75.0,67397,
755,Bringing Up Baby,1938,102,7.9,91.0,53650,
756,On Golden Pond,1981,109,7.6,68.0,26866,119.29
757,The 400 Blows,1959,99,8.1,None Given,101130,
758,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73.0,189415,52.01
759,The Message,1976,177,8.2,None Given,42670,
760,The African Queen,1951,105,7.7,91.0,69928,0.54
761,A Christmas Story,1983,94,7.9,77.0,127497,20.61
762,Judgment at Nuremberg,1961,179,8.2,60.0,66884,
763,City Lights,1931,87,8.5,99.0,161393,0.02
764,The Hurricane,1999,146,7.6,74.0,89848,50.67
765,Children of Heaven,1997,89,8.3,None Given,61644,0.93
766,All About My Mother,1999,101,7.8,87.0,86587,8.26
767,Shadow of a Doubt,1943,108,7.8,94.0,57662,
768,The Rules of the Game,1939,110,8.0,None Given,25957,
769,Short Cuts,1993,188,7.7,79.0,41417,6.11
770,Once,2007,86,7.8,88.0,108791,9.44
771,Bajrangi Bhaijaan,2015,163,8.0,None Given,69374,8.18
772,Sholay,1975,162,8.2,None Given,49928,
773,Gully Boy,2019,153,8.1,65.0,28715,5.57
774,Ninja Scroll,1993,94,7.9,None Given,33657,
775,Repulsion,1965,105,7.7,91.0,47390,
776,The Manchurian Candidate,1962,126,7.9,94.0,69969,
777,Touch of Evil,1958,95,8.0,99.0,96492,2.24
778,OMG: Oh My God!,2012,125,8.1,None Given,49275,0.92
779,The Best Years of Our Lives,1946,170,8.0,93.0,56051,23.65
780,The Quiet Man,1952,129,7.7,None Given,33704,10.55
781,Zulu,1964,138,7.7,77.0,35017,
782,Amarcord,1973,123,7.9,None Given,38601,
783,A Man for All Seasons,1966,120,7.7,72.0,30343,28.35
784,The Double Life of Véronique,1991,98,7.8,86.0,40099,2.0
785,Swades,2004,189,8.2,None Given,80451,1.22
786,Badhaai Ho,2018,124,8.0,None Given,25901,
787,A Man Called Ove,2015,116,7.7,70.0,44561,3.36
788,Perfect Strangers,2016,96,7.8,None Given,53932,
789,Frankenstein,1931,70,7.8,91.0,63000,
790,"Spring, Summer, Fall, Winter... and Spring",2003,103,8.0,85.0,75241,2.38
791,The Virgin Spring,1960,89,8.1,None Given,25759,1.53
792,Thank You for Smoking,2005,92,7.6,71.0,210821,24.79
793,Volver,2006,121,7.6,84.0,92728,12.9
794,Infernal Affairs,2002,101,8.0,75.0,116028,0.17
795,The Day the Earth Stood Still,1951,92,7.7,None Given,75158,
796,Open Your Eyes,1997,117,7.8,None Given,62605,0.37
797,Lagaan: Once Upon a Time in India,2001,224,8.1,84.0,101769,0.07
798,Sympathy for Mr. Vengeance,2002,129,7.6,56.0,60682,0.05
799,The Battle of Algiers,1966,121,8.1,96.0,50650,0.06
800,The Hustler,1961,134,8.0,90.0,73734,8.28
801,Cries & Whispers,1972,91,8.1,None Given,28914,1.74
802,The Motorcycle Diaries,2004,126,7.8,75.0,95072,16.76
803,Delicatessen,1991,99,7.6,66.0,78842,1.79
804,Dead Man's Shoes,2004,90,7.6,52.0,48390,0.01
805,Tokyo Story,1953,136,8.2,None Given,49843,
806,All Quiet on the Western Front,1930,152,8.0,91.0,56093,3.27
807,Good Bye Lenin!,2003,121,7.7,68.0,135262,4.06
808,Talk to Her,2002,112,7.9,86.0,102361,9.28
809,Uri: The Surgical Strike,2019,138,8.3,None Given,40431,4.19
810,The Taking of Pelham One Two Three,1974,104,7.7,68.0,25574,
811,The Diving Bell and the Butterfly,2007,112,8.0,92.0,101729,5.99
812,The White Ribbon,2009,144,7.8,82.0,67044,2.22
813,The Little Prince,2015,108,7.7,70.0,54710,1.34
814,The Cabinet of Dr. Caligari,1920,67,8.1,None Given,55192,
815,A Prophet,2009,155,7.9,90.0,91756,2.08
816,A Very Long Engagement,2004,133,7.6,76.0,70050,6.17
817,3-Iron,2004,88,8.0,72.0,48397,0.24
818,Rififi,1955,118,8.2,97.0,25828,0.06
819,Song of the Sea,2014,93,8.1,85.0,48835,0.86
820,The Man Who Would Be King,1975,129,7.8,91.0,42959,
821,The Conformist,1970,113,8.0,100.0,25852,0.54
822,The Lunchbox,2013,104,7.8,76.0,48421,4.23
823,Laura,1944,88,8.0,None Given,41410,4.36
824,5 Centimeters Per Second,2007,63,7.6,None Given,48817,
825,Invasion of the Body Snatchers,1956,80,7.7,92.0,43650,
826,His Girl Friday,1940,92,7.9,None Given,51964,0.3
827,Control,2007,122,7.7,78.0,60494,0.87
828,Rang De Basanti,2006,167,8.2,None Given,108144,2.2
829,Night on Earth,1991,129,7.8,68.0,53757,2.02
830,Elite Squad,2007,115,8.1,33.0,96157,0.01
831,Underground,1995,167,8.1,None Given,53975,0.17
832,Loveless,2017,127,7.6,86.0,28086,0.57
833,Only Yesterday,1991,118,7.6,90.0,25024,0.45
834,The Vanishing,1988,107,7.7,None Given,32785,
835,Three Colors: White,1994,92,7.6,88.0,61377,1.46
836,Mr. Smith Goes to Washington,1939,129,8.1,73.0,104010,9.6
837,Gilda,1946,110,7.7,None Given,26973,
838,Philomena,2013,98,7.6,77.0,92502,37.71
839,The Invisible Man,1933,71,7.7,87.0,29100,
840,The Salesman,2016,124,7.8,85.0,48135,2.4
841,Eyes Without a Face,1960,90,7.7,90.0,25957,0.05
842,A Hard Day's Night,1964,87,7.6,96.0,39187,13.78
843,Udaan,2010,134,8.2,None Given,41303,0.01
844,Sanjuro,1962,96,8.1,None Given,31085,
845,Leviathan,2014,140,7.6,92.0,47689,1.09
846,Kal ho naa ho,2003,186,8.0,54.0,61580,1.79
847,To Be or Not to Be,1942,99,8.2,86.0,26890,
848,Wait Until Dark,1967,108,7.8,81.0,26995,17.55
849,My Name Is Khan,2010,165,8.0,50.0,96139,4.02
850,Secrets & Lies,1996,136,8.0,91.0,36059,13.42
851,The Red Shoes,1948,135,8.1,None Given,29631,10.9
852,The Visitor,2007,104,7.6,79.0,41102,9.42
853,Once Were Warriors,1994,102,7.9,77.0,30805,2.2
854,The Exterminating Angel,1962,95,8.1,None Given,28522,
855,The Wages of Fear,1953,131,8.1,85.0,52548,
856,La Strada,1954,108,8.0,None Given,56617,
857,Special 26,2013,144,8.0,None Given,49181,1.08
858,The Lady Vanishes,1938,96,7.8,None Given,45857,
859,The Broken Circle Breakdown,2012,111,7.8,70.0,38496,0.18
860,Ivan's Childhood,1962,84,8.1,None Given,29933,
861,Winter Sleep,2014,196,8.1,88.0,43565,0.17
862,The Bandit,1996,128,8.3,None Given,61372,
863,Anand,1971,122,8.5,None Given,27425,
864,The Wave,2008,107,7.6,None Given,100234,
865,Out of the Past,1947,97,8.0,None Given,31539,
866,Shine,1996,105,7.7,87.0,50366,35.81
867,Bride of Frankenstein,1935,75,7.8,95.0,41965,4.36
868,The Innocents,1961,100,7.8,88.0,25744,2.62
869,The World's Fastest Indian,2005,127,7.8,68.0,51026,5.13
870,"I, Daniel Blake",2016,100,7.9,78.0,51098,0.26
871,Ayla: The Daughter of War,2017,125,8.5,None Given,31922,
872,Arsenic and Old Lace,1944,118,8.0,None Given,63905,
873,Kokuhaku,2010,106,7.8,None Given,34649,
874,Sleuth,1972,138,8.0,None Given,43926,4.08
875,Pink,2016,136,8.1,None Given,37126,1.24
876,Love Me If You Dare,2003,93,7.6,45.0,66147,0.55
877,Stalag 17,1953,120,8.0,84.0,50149,
878,In a Better World,2010,118,7.6,65.0,37887,1.01
879,The Celebration,1998,105,8.0,82.0,76179,1.65
880,Lilya 4-Ever,2002,109,7.8,82.0,41629,0.18
881,Hard Boiled,1992,128,7.8,None Given,45718,
882,Once Upon a Time in Anatolia,2011,157,7.9,82.0,39604,0.14
883,The Thin Man,1934,91,8.0,None Given,25627,
884,Kahaani,2012,122,8.1,None Given,55977,1.04
885,In a Lonely Place,1950,94,8.0,None Given,25081,
886,Talvar,2015,132,8.2,None Given,29482,0.34
887,Wolf Children,2012,117,8.1,71.0,36799,
888,The Odd Couple,1968,105,7.7,86.0,30711,44.53
889,Lupin the 3rd: Castle of Cagliostro,1979,102,7.7,71.0,25688,
890,"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97.0,55244,1.19
891,Dil Chahta Hai,2001,183,8.1,None Given,65028,0.3
892,Key Largo,1948,100,7.8,None Given,36139,
893,My Father and My Son,2005,112,8.3,None Given,75584,
894,Mustang,2015,97,7.6,83.0,34332,0.85
895,Persepolis,2007,96,8.0,90.0,86663,4.45
896,To Have and Have Not,1944,100,7.8,None Given,30085,
897,The Sea Inside,2004,126,8.0,74.0,76011,2.09
898,The Girl Who Leapt Through Time,2006,98,7.8,None Given,58158,
899,Fearless,2006,104,7.6,70.0,71874,24.63
900,Down by Law,1986,107,7.8,75.0,46644,1.44
901,Peeping Tom,1960,101,7.7,None Given,29819,0.08
902,Dilwale Dulhania Le Jayenge,1995,181,8.1,None Given,61523,
903,After the Wedding,2006,120,7.7,78.0,31160,0.41
904,Diabolique,1955,117,8.0,None Given,60086,
905,Sweet Smell of Success,1957,96,8.1,100.0,27061,
906,The Return,2003,110,8.0,82.0,41114,0.5
907,The Passion of Joan of Arc,1928,114,8.1,None Given,45422,0.02
908,The Station Agent,2003,89,7.6,81.0,66407,5.74
909,About Elly,2009,119,8.0,87.0,43195,0.11
910,Nights of Cabiria,1957,110,8.1,None Given,41635,0.75
911,My Sassy Girl,2001,137,8.0,None Given,44484,
912,Baby,2015,159,8.0,None Given,51382,
913,Il Postino,1994,108,7.7,81.0,32678,21.85
914,Cowboy Bebop: The Movie,2001,115,7.9,61.0,41756,1.0
915,Inherit the Wind,1960,128,8.1,75.0,26487,
916,Crimes and Misdemeanors,1989,104,7.9,77.0,53313,18.25
917,Sunrise,1927,94,8.1,None Given,45850,0.54
918,Death Note,2006,126,7.7,None Given,28104,
919,The Gold Rush,1925,95,8.2,None Given,96667,5.45
920,Hera Pheri,2000,156,8.2,None Given,54197,
921,Head-On,2004,121,7.9,78.0,49868,
